side,entry_time,entry_price,exit_time,exit_price,exit_reason,pnl_pts,cum_pnl_pts
long,2023-02-20 19:00:00+00:00,24872.18,2023-02-21 02:00:00+00:00,24891.06171428571,trail_stop,18.881714285711496,-704.5251428571537
short,2023-02-21 22:00:00+00:00,24383.8,2023-02-22 02:00:00+00:00,24160.312285714284,trail_stop,223.4877142857149,-481.0374285714388
long,2023-02-23 16:00:00+00:00,23760.23,2023-02-23 22:00:00+00:00,23773.41857142857,trail_stop,13.188571428570867,-467.8488571428679
short,2023-02-23 23:00:00+00:00,23940.2,2023-02-24 08:00:00+00:00,23923.696285714286,trail_stop,16.503714285714523,-451.3451428571534
long,2023-02-26 14:00:00+00:00,23194.36,2023-02-26 18:00:00+00:00,23406.905428571426,trail_stop,212.54542857142587,-238.79971428572753
short,2023-02-28 10:00:00+00:00,23363.9,2023-02-28 16:00:00+00:00,23590.557142857142,stop,-226.65714285714057,-465.4568571428681
long,2023-03-01 07:00:00+00:00,23716.06,2023-03-01 08:00:00+00:00,23757.108857142855,trail_stop,41.048857142854104,-424.408000000014
short,2023-03-02 12:00:00+00:00,23354.61,2023-03-02 14:00:00+00:00,23332.850000000002,trail_stop,21.7599999999984,-402.6480000000156
long,2023-03-05 06:00:00+00:00,22415.76,2023-03-05 17:00:00+00:00,22424.064857142857,trail_stop,8.304857142858964,-394.34314285715664
short,2023-03-07 13:00:00+00:00,22363.53,2023-03-07 14:00:00+00:00,22285.587714285713,trail_stop,77.94228571428539,-316.40085714287125
long,2023-03-11 17:00:00+00:00,20245.48,2023-03-11 23:00:00+00:00,20355.190857142858,trail_stop,109.710857142858,-206.69000000001324
short,2023-03-15 18:00:00+00:00,24410.66,2023-03-16 07:00:00+00:00,24395.36742857143,trail_stop,15.292571428570227,-191.39742857144302
long,2023-03-16 20:00:00+00:00,24698.41,2023-03-16 21:00:00+00:00,24728.780285714285,trail_stop,30.370285714285274,-161.02714285715774
short,2023-03-19 12:00:00+00:00,27246.96,2023-03-19 15:00:00+00:00,27628.221428571425,stop,-381.2614285714262,-542.288571428584
long,2023-03-19 19:00:00+00:00,28255.35,2023-03-20 01:00:00+00:00,27688.737142857142,stop,-566.6128571428562,-1108.9014285714402
short,2023-03-21 17:00:00+00:00,27988.69,2023-03-22 14:00:00+00:00,28624.484285714283,stop,-635.7942857142843,-1744.6957142857245
short,2023-03-23 00:00:00+00:00,27322.27,2023-03-23 12:00:00+00:00,27317.975142857144,trail_stop,4.294857142856927,-1740.4008571428676
long,2023-03-24 00:00:00+00:00,28195.29,2023-03-24 21:00:00+00:00,27432.710000000003,stop,-762.5799999999981,-2502.9808571428657
short,2023-03-25 01:00:00+00:00,27498.54,2023-03-25 11:00:00+00:00,27495.723714285712,trail_stop,2.8162857142888242,-2500.164571428577
long,2023-03-26 14:00:00+00:00,27795.22,2023-03-26 22:00:00+00:00,27839.873714285717,trail_stop,44.65371428571598,-2455.510857142861
short,2023-03-27 18:00:00+00:00,27090.8,2023-03-28 06:00:00+00:00,27024.836285714286,trail_stop,65.96371428571365,-2389.5471428571473
long,2023-03-29 07:00:00+00:00,28086.82,2023-03-29 08:00:00+00:00,28357.150285714284,trail_stop,270.3302857142844,-2119.216857142863
short,2023-03-31 03:00:00+00:00,28168.41,2023-03-31 07:00:00+00:00,27810.696857142855,trail_stop,357.7131428571447,-1761.5037142857182
long,2023-04-01 03:00:00+00:00,28541.1,2023-04-02 15:00:00+00:00,28135.307142857142,stop,-405.7928571428565,-2167.2965714285747
long,2023-04-04 17:00:00+00:00,28226.98,2023-04-05 00:00:00+00:00,28488.23,trail_stop,261.25,-1906.0465714285747
short,2023-04-06 03:00:00+00:00,28128.42,2023-04-06 07:00:00+00:00,28082.632285714288,trail_stop,45.787714285710535,-1860.2588571428641
long,2023-04-08 10:00:00+00:00,28011.61,2023-04-09 06:00:00+00:00,27854.944285714286,stop,-156.66571428571478,-2016.924571428579
short,2023-04-09 11:00:00+00:00,27930.2,2023-04-09 14:00:00+00:00,27887.51685714286,trail_stop,42.68314285714223,-1974.2414285714367
long,2023-04-09 22:00:00+00:00,28371.38,2023-04-10 15:00:00+00:00,28452.57314285714,trail_stop,81.19314285714063,-1893.048285714296
short,2023-04-12 20:00:00+00:00,29947.48,2023-04-13 14:00:00+00:00,30381.658571428572,stop,-434.17857142857247,-2327.2268571428685
long,2023-04-13 14:00:00+00:00,30435.33,2023-04-14 00:00:00+00:00,30575.326571428574,trail_stop,139.99657142857177,-2187.2302857142968
short,2023-04-15 06:00:00+00:00,30390.99,2023-04-15 15:00:00+00:00,30386.387142857144,trail_stop,4.602857142857829,-2182.627428571439
long,2023-04-18 18:00:00+00:00,30144.5,2023-04-18 20:00:00+00:00,30189.736285714287,trail_stop,45.23628571428708,-2137.391142857152
short,2023-04-19 17:00:00+00:00,29318.14,2023-04-19 21:00:00+00:00,29128.754,trail_stop,189.3859999999986,-1948.0051428571533
long,2023-04-23 08:00:00+00:00,27710.51,2023-04-23 15:00:00+00:00,27436.667142857143,stop,-273.8428571428558,-2221.848000000009
short,2023-04-24 10:00:00+00:00,27418.91,2023-04-24 16:00:00+00:00,27298.851714285713,trail_stop,120.0582857142872,-2101.789714285722
long,2023-04-25 22:00:00+00:00,28233.26,2023-04-26 06:00:00+00:00,28347.41657142857,trail_stop,114.15657142857162,-1987.6331428571502
short,2023-04-29 08:00:00+00:00,29313.86,2023-04-29 17:00:00+00:00,29146.900285714284,trail_stop,166.95971428571647,-1820.6734285714338
long,2023-04-30 17:00:00+00:00,29644.37,2023-04-30 19:00:00+00:00,29370.181428571428,stop,-274.18857142857087,-2094.8620000000046
short,2023-05-01 03:00:00+00:00,28561.07,2023-05-01 06:00:00+00:00,28552.743714285716,trail_stop,8.326285714283586,-2086.535714285721
long,2023-05-03 01:00:00+00:00,28542.06,2023-05-03 08:00:00+00:00,28589.889428571427,trail_stop,47.829428571425524,-2038.7062857142955
short,2023-05-06 19:00:00+00:00,28842.82,2023-05-07 04:00:00+00:00,28834.068571428572,trail_stop,8.751428571427823,-2029.9548571428677
long,2023-05-10 12:00:00+00:00,28175.27,2023-05-10 17:00:00+00:00,27921.06142857143,stop,-254.2085714285713,-2284.163428571439
short,2023-05-11 09:00:00+00:00,27417.47,2023-05-11 13:00:00+00:00,27284.75,trail_stop,132.72000000000116,-2151.443428571438
long,2023-05-13 13:00:00+00:00,26821.38,2023-05-13 18:00:00+00:00,26924.642571428572,trail_stop,103.26257142857139,-2048.1808571428664
short,2023-05-16 13:00:00+00:00,26984.84,2023-05-17 07:00:00+00:00,26905.11257142857,trail_stop,79.72742857143021,-1968.4534285714362
long,2023-05-18 03:00:00+00:00,27365.69,2023-05-18 14:00:00+00:00,27024.489999999998,stop,-341.2000000000007,-2309.653428571437
short,2023-05-19 00:00:00+00:00,26885.47,2023-05-19 09:00:00+00:00,26885.426285714286,trail_stop,0.04371428571539582,-2309.6097142857216
long,2023-05-20 15:00:00+00:00,26945.67,2023-05-20 17:00:00+00:00,27080.372571428572,trail_stop,134.70257142857372,-2174.907142857148
short,2023-05-21 22:00:00+00:00,26754.82,2023-05-22 00:00:00+00:00,26683.350571428575,trail_stop,71.46942857142494,-2103.437714285723
long,2023-05-23 03:00:00+00:00,27366.67,2023-05-23 17:00:00+00:00,27368.18,trail_stop,1.5100000000020373,-2101.927714285721
short,2023-05-24 10:00:00+00:00,26730.01,2023-05-24 13:00:00+00:00,26450.500285714283,trail_stop,279.50971428571575,-1822.4180000000051
long,2023-05-26 06:00:00+00:00,26434.4,2023-05-26 09:00:00+00:00,26446.80285714286,trail_stop,12.402857142857101,-1810.015142857148
short,2023-05-30 15:00:00+00:00,27673.08,2023-05-31 04:00:00+00:00,27427.666571428574,trail_stop,245.41342857142808,-1564.60171428572
long,2023-06-02 11:00:00+00:00,27130.75,2023-06-02 13:00:00+00:00,26874.268571428573,stop,-256.4814285714274,-1821.0831428571473
short,2023-06-04 04:00:00+00:00,27054.95,2023-06-04 09:00:00+00:00,27244.63857142857,stop,-189.68857142857087,-2010.7717142857182
long,2023-06-04 20:00:00+00:00,27241.5,2023-06-04 22:00:00+00:00,27361.803142857145,trail_stop,120.30314285714485,-1890.4685714285733
short,2023-06-05 05:00:00+00:00,26816.7,2023-06-05 14:00:00+00:00,26773.861714285715,trail_stop,42.83828571428603,-1847.6302857142873
long,2023-06-07 01:00:00+00:00,27085.82,2023-06-07 09:00:00+00:00,26491.975714285712,stop,-593.8442857142873,-2441.4745714285746
short,2023-06-08 06:00:00+00:00,26427.34,2023-06-08 15:00:00+00:00,26739.82857142857,stop,-312.48857142857014,-2753.9631428571447
long,2023-06-09 06:00:00+00:00,26492.92,2023-06-09 08:00:00+00:00,26526.807142857142,trail_stop,33.88714285714377,-2720.076000000001
short,2023-06-10 04:00:00+00:00,25765.29,2023-06-10 05:00:00+00:00,25637.599714285716,trail_stop,127.69028571428498,-2592.385714285716
long,2023-06-12 00:00:00+00:00,25965.13,2023-06-12 02:00:00+00:00,25664.251428571428,stop,-300.8785714285732,-2893.264285714289
short,2023-06-14 06:00:00+00:00,25894.53,2023-06-14 12:00:00+00:00,26079.975714285712,stop,-185.44571428571362,-3078.7100000000028
long,2023-06-14 18:00:00+00:00,25915.02,2023-06-14 20:00:00+00:00,25707.088571428572,stop,-207.9314285714281,-3286.641428571431
long,2023-06-16 09:00:00+00:00,25595.96,2023-06-16 14:00:00+00:00,25338.95142857143,stop,-257.0085714285706,-3543.6500000000015
short,2023-06-19 03:00:00+00:00,26403.36,2023-06-19 17:00:00+00:00,26629.27285714286,stop,-225.91285714285914,-3769.5628571428606
long,2023-06-19 22:00:00+00:00,26754.98,2023-06-20 00:00:00+00:00,26800.18742857143,trail_stop,45.20742857142977,-3724.355428571431
short,2023-06-23 14:00:00+00:00,30282.05,2023-06-23 15:00:00+00:00,30609.572857142855,stop,-327.5228571428561,-4051.878285714287
long,2023-06-23 15:00:00+00:00,31238.01,2023-06-23 16:00:00+00:00,30763.514285714286,stop,-474.4957142857129,-4526.374
short,2023-06-25 10:00:00+00:00,30621.28,2023-06-25 20:00:00+00:00,30466.442000000003,trail_stop,154.8379999999961,-4371.536000000004
short,2023-06-25 23:00:00+00:00,30462.67,2023-06-26 01:00:00+00:00,30176.036857142855,trail_stop,286.63314285714296,-4084.9028571428607
long,2023-06-27 14:00:00+00:00,30808.63,2023-06-27 15:00:00+00:00,30483.61142857143,stop,-325.0185714285726,-4409.921428571433
short,2023-06-28 15:00:00+00:00,30411.07,2023-06-28 17:00:00+00:00,30263.569714285713,trail_stop,147.5002857142863,-4262.421142857147
long,2023-06-29 19:00:00+00:00,30584.99,2023-06-30 03:00:00+00:00,30671.678571428572,trail_stop,86.68857142857087,-4175.732571428576
short,2023-07-01 03:00:00+00:00,30398.02,2023-07-02 04:00:00+00:00,30397.857714285714,trail_stop,0.16228571428655414,-4175.57028571429
short,2023-07-05 02:00:00+00:00,30838.0,2023-07-05 08:00:00+00:00,30766.682285714287,trail_stop,71.31771428571301,-4104.252571428577
long,2023-07-08 12:00:00+00:00,30171.85,2023-07-08 16:00:00+00:00,30236.504285714287,trail_stop,64.65428571428856,-4039.598285714288
short,2023-07-09 05:00:00+00:00,30260.67,2023-07-09 14:00:00+00:00,30419.035714285714,stop,-158.3657142857155,-4197.964000000004
long,2023-07-09 14:00:00+00:00,30341.02,2023-07-09 20:00:00+00:00,30188.61857142857,stop,-152.40142857142928,-4350.365428571433
short,2023-07-10 01:00:00+00:00,30048.79,2023-07-10 12:00:00+00:00,30272.905714285716,stop,-224.1157142857155,-4574.481142857148
long,2023-07-10 20:00:00+00:00,30779.01,2023-07-10 21:00:00+00:00,30463.281428571427,stop,-315.72857142857174,-4890.20971428572
short,2023-07-13 02:00:00+00:00,30337.55,2023-07-13 10:00:00+00:00,30635.338571428572,stop,-297.78857142857305,-5187.998285714293
long,2023-07-13 19:00:00+00:00,31606.0,2023-07-13 21:00:00+00:00,31117.812857142857,stop,-488.18714285714304,-5676.185428571436
short,2023-07-15 01:00:00+00:00,30336.45,2023-07-15 18:00:00+00:00,30318.965714285718,trail_stop,17.484285714283033,-5658.701142857153
long,2023-07-16 19:00:00+00:00,30252.94,2023-07-16 22:00:00+00:00,30272.83342857143,trail_stop,19.893428571431286,-5638.807714285722
long,2023-07-17 00:00:00+00:00,30213.99,2023-07-17 01:00:00+00:00,30219.664285714287,trail_stop,5.674285714285361,-5633.1334285714365
short,2023-07-17 10:00:00+00:00,30163.93,2023-07-17 12:00:00+00:00,30163.03142857143,trail_stop,0.8985714285699942,-5632.2348571428665
long,2023-07-19 17:00:00+00:00,29993.19,2023-07-20 05:00:00+00:00,30039.926857142855,trail_stop,46.736857142856024,-5585.4980000000105
short,2023-07-21 00:00:00+00:00,29786.01,2023-07-22 21:00:00+00:00,29784.273428571425,trail_stop,1.7365714285733702,-5583.761428571437
short,2023-07-23 00:00:00+00:00,29778.37,2023-07-23 04:00:00+00:00,29894.325714285715,stop,-115.95571428571566,-5699.717142857153
long,2023-07-23 17:00:00+00:00,30118.5,2023-07-23 18:00:00+00:00,30204.93085714286,trail_stop,86.43085714285917,-5613.286285714294
short,2023-07-24 10:00:00+00:00,29324.0,2023-07-24 15:00:00+00:00,29083.637714285716,trail_stop,240.36228571428364,-5372.92400000001
long,2023-07-26 07:00:00+00:00,29216.61,2023-07-26 14:00:00+00:00,29245.225142857144,trail_stop,28.615142857142928,-5344.308857142867
short,2023-07-28 02:00:00+00:00,29230.0,2023-07-28 09:00:00+00:00,29203.302285714286,trail_stop,26.697714285714028,-5317.611142857153
long,2023-07-29 04:00:00+00:00,29380.92,2023-07-30 10:00:00+00:00,29248.92,stop,-132.0,-5449.611142857153
short,2023-07-30 12:00:00+00:00,29324.01,2023-07-30 13:00:00+00:00,29313.860571428573,trail_stop,10.149428571425233,-5439.461714285728
long,2023-07-30 16:00:00+00:00,29380.01,2023-07-30 19:00:00+00:00,29281.465714285714,stop,-98.54428571428434,-5538.006000000012
short,2023-07-30 19:00:00+00:00,29202.28,2023-07-30 20:00:00+00:00,29134.716285714287,trail_stop,67.5637142857122,-5470.4422857143
long,2023-07-31 03:00:00+00:00,29422.0,2023-07-31 17:00:00+00:00,29177.45142857143,stop,-244.54857142857145,-5714.990857142871
short,2023-07-31 22:00:00+00:00,29210.0,2023-08-01 02:00:00+00:00,28883.96285714286,trail_stop,326.0371428571416,-5388.95371428573
long,2023-08-02 04:00:00+00:00,29675.52,2023-08-02 14:00:00+00:00,29288.158571428572,stop,-387.3614285714284,-5776.315142857158
short,2023-08-03 05:00:00+00:00,29149.0,2023-08-03 08:00:00+00:00,29079.75342857143,trail_stop,69.24657142857177,-5707.068571428586
long,2023-08-04 09:00:00+00:00,29200.12,2023-08-04 13:00:00+00:00,29246.219714285715,trail_stop,46.09971428571589,-5660.968857142871
